id,试卷名称,试题简介,words
779,2019级16班9.30至10.16错题集,"贝多芬是德国杰出的音乐家,维也纳古典乐派代表人物之一,世界音乐史上最伟大的作曲家之一.贝多芬56岁时听觉...",2019 16 9.30 10.16 错题 贝多芬 德国 杰出 音乐家 维也纳 古典 乐派 代表 人物 之一 世界 音乐史 伟大 作曲家 之一 贝多芬 56 听觉 ...
780,2019级16班9.30至10.16错题集,"(河北中考)平直公路上并排停放着两辆汽车,一段时间后,坐在甲车上的小明感觉乙车向北运动,关于两辆汽车的运...",2019 16 9.30 10.16 错题 河北 中考 平直 公路 并排 停放 两辆 汽车 一段时间 坐在 车上 小明 感觉 乙车 运动 关于 两辆 汽车 ...
781,2019级16班9.30至10.16错题集,"“会说话的汤姆猫”是一款手机宠物类应用软件.游戏时,当你对着它讲话,它就会模仿你的腔调学舌,非...",2019 16 9.30 10.16 错题 说话 汤姆 一款 手机 宠物 应用软件 游戏 讲话 模仿 腔调 学舌 ...
782,2019级16班9.30至10.16错题集,在同一架钢琴上，弹奏C调“3(mi)”和“1(dou)”这两个音，以下说法正确的是( ),2019 16 9.30 10.16 错题 一架 钢琴 弹奏 mi dou 两个 以下 说法 正确
783,-,冰激凌变软,冰激凌 变软
784,-,碘蒸气遇冷直接变成固态,蒸气 遇冷 直接 变成 固态
785,-,"一支燃烧的蜡烛,从“蜡碗”内流出的液体蜡油,瞬间固化。",一支 燃烧 蜡烛 蜡碗 流出 液体 蜡油 瞬间 固化
786,-,工厂浇铸车间铜块变铜水,工厂 浇铸 车间 铜块 变铜水
787,-,游完泳从水里出来会很冷,完泳 水里 出来
788,-,"炼钢炉内熔化的铁水,倾倒出制成钢材。",炼钢炉 熔化 铁水 倾倒 制成 钢材
789,-,"冬天,池塘的水结冰了",冬天 池塘 结冰
790,-,"天冷时,温暖的屋子的窗玻璃内部表面出现的水珠。",天冷时 温暖 屋子 窗玻璃 内部 表面 出现 水珠
791,-,"化雪的时候,在建筑物的尖角处,挂的冰凌柱。",化雪 时候 建筑物 尖角 冰凌
792,-,夏天看到冰棒冒着白气,夏天 看到 冰棒 白气
793,-,夏天洒在地上的水一会儿变干了.,夏天 地上 一会儿 变干
794,-,舞台上的白雾和人工降雨(部分涉及),舞台 白雾 人工降雨 部分 涉及
795,-,"蜡烛点燃,蜡块变成蜡水",蜡烛 点燃 蜡块 变成 蜡水
796,-,工厂浇铸车间铜块变铜水,工厂 浇铸 车间 铜块 变铜水
797,-,"用久的电灯泡会显得黑,",用久 电灯泡 显得
798,-,"一支燃烧的蜡烛,从“蜡碗”内流出的液体蜡油,瞬间固化。",一支 燃烧 蜡烛 蜡碗 流出 液体 蜡油 瞬间 固化
799,-,"锅中的沸水,随着时间延续,水越来越少.",锅中 沸水 随着 时间 延续 越来越少
800,-,"夏天天热的时候,狗经常把舌头伸出来。",夏天 天热 时候 经常 舌头 伸出
801,-,"春秋季早晨容易起雾,看见露水",春秋季 早晨 容易 起雾 看见 露水
802,-,天然气加压变为液化气,天然气 加压 变为 液化气
803,-,"戴眼镜的朋友在吃饭时,经常被“挡住视线,这也是液化现象",戴眼镜 朋友 吃饭 经常 挡住 视线 液化 现象
804,-,"夏天冰棍的外表上有一层“白粉”冬夜,",夏天 冰棍 外表 一层 白粉 冬夜
805,-,夏天洒在地上的水一会儿变干了.,夏天 地上 一会儿 变干
806,-,冰激凌变软,冰激凌 变软
807,-,衣箱中的樟脑丸变小.,衣箱 樟脑丸 变小
808,-,冬天的雪或雪人时间久了会发现变少或变小了,冬天 雪人 时间 发现 变少 变小
809,-,碘受热变为紫色的碘蒸气.,受热 变为 紫色 蒸气
810,-,"夏天天热的时候,狗经常把舌头伸出来。",夏天 天热 时候 经常 舌头 伸出
811,-,天然气加压变为液化气,天然气 加压 变为 液化气
812,-,工厂浇铸车间铜块变铜水,工厂 浇铸 车间 铜块 变铜水
813,-,"炼钢炉内熔化的铁水,倾倒出制成钢材。",炼钢炉 熔化 铁水 倾倒 制成 钢材
814,-,碘受热变为紫色的碘蒸气.,受热 变为 紫色 蒸气
815,-,雪、霜、冰雹、雾凇、窗玻璃上冰花的形成。,冰雹 雾凇 窗玻璃 冰花 形成
816,-,夏天洒在地上的水一会儿变干了.,夏天 地上 一会儿 变干
817,-,雨水、露水、雾气、高空的云层,雨水 露水 雾气 高空 云层
818,-,天然气加压变为液化气,天然气 加压 变为 液化气
819,-,"用久的电灯泡会显得黑,",用久 电灯泡 显得
820,-,水蒸气烫伤比开水烫伤更严重,水蒸气 烫伤 开水 烫伤 严重
821,-,冰雪消融变成水,冰雪消融 变成
822,-,碘蒸气遇冷直接变成固态,蒸气 遇冷 直接 变成 固态
823,2019级16班9.30至10.16错题集,"如图所示的现象说明了_______,物理学中把这种研究问题的方法叫做_______法. 敲鼓时,纸屑上下跳动 扬声器发...",2019 16 9.30 10.16 错题 如图所示 现象 说明 _______ 物理学 这种 研究 问题 方法 叫做 _______ 敲鼓时 纸屑 上下跳动 扬声器 ...
824,2019级16班9.30至10.16错题集,"在地球上做这样的实验:一人在一根较长的空心钢管的一端敲击一下,另一人在钢管的另一端耳朵贴近管口会听到两...",2019 16 9.30 10.16 错题 地球 这样 实验 一人 一根 较长 空心 钢管 一端 敲击 一下 另一人 钢管 另一端 耳朵 贴近 管口会 听到 ...
825,2019级16班9.30至10.16错题集,"小梦在探究声音高低与物体振动快慢的关系时,将钢尺的一端伸出桌面,用手拨动使其上下振动发出声音.如图所示,...",2019 16 9.30 10.16 错题 小梦 探究 声音 高低 物体 振动 快慢 关系 钢尺 一端 伸出 桌面 用手 拨动 上下 振动 发出声音 如图所示 ...
826,2019级16班9.30至10.16错题集,"8个相同的玻璃瓶中灌入不同高度的水,仔细调节水的高度。敲击它们,就可以发出“1,2,3,4,5,6,7,”...",2019 16 9.30 10.16 错题 相同 玻璃瓶 灌入 不同 高度 仔细 调节 高度 敲击 它们 可以 发出 ...
827,2019级16班9.30至10.16错题集,"如图所示,将一把钢尺压在桌面上,一部分伸出桌面,用手拨动其伸出桌外的一端,轻拨与重拨钢尺,则钢尺发出声音...",2019 16 9.30 10.16 错题 如图所示 一把 钢尺 压在 桌面上 一部分 伸出 桌面 用手 拨动 伸出 桌外 一端 轻拨 重拨 钢尺 钢尺 发出声音 ...
828,2019级16班9.30至10.16错题集,"在学习二胡演奏过程中,小明发现琴弦发出声音的音调高低受各种因素的影响,他决定对此进行研究,经过和同学们...",2019 16 9.30 10.16 错题 学习 二胡 演奏 过程 小明 发现 琴弦 发出声音 音调 高低 各种因素 影响 决定 对此 进行 研究 经过 同学 ...
829,2019级16班9.30至10.16错题集,"如图所示,四个相同玻璃瓶里装水,水面高度不同,主要是为了在敲击不同水瓶时改变发出声音的  ;如果能分别敲击...",2019 16 9.30 10.16 错题 如图所示 四个 相同 玻璃瓶 装水 水面 高度 不同 主要 为了 敲击 不同 水瓶 改变 发出声音 如果 分别 敲击 ...
830,2019级16班9.30至10.16错题集,"如图所示,在教室里,小明敲响乙音叉时.  (1)与甲音叉的叉股接触的乒乓球被弹开;甲音叉 会 发出声音.(填&ldqu...",2019 16 9.30 10.16 错题 如图所示 教室 小明 敲响 音叉 音叉 接触 乒乓球 弹开 音叉 发出声音 ldqu ...
831,2019级16班9.30至10.16错题集,"如图是普通的医学听诊器,它能将声音集中在胶管中传播,这样做减少了声音的分散,增大了声音的_______,这比直...",2019 16 9.30 10.16 错题 如图 普通 医学 听诊器 声音 集中 胶管 传播 这样 减少 声音 分散 增大 声音 _______ 这比直 ...
832,2019级16班9.30至10.16错题集,"(昆明中考)清晨,一觉醒来,听到窗外各种鸟儿欢快的鸣叫,有经验的人能够从这些声音中分辨出雄鸡、喜鹊、画眉...",2019 16 9.30 10.16 错题 昆明 中考 清晨 觉醒 听到 窗外 各种 鸟儿 欢快 鸣叫 经验 能够 这些 声音 分辨 雄鸡 喜鹊 画眉 ...
833,2019级16班9.30至10.16错题集,"在二胡表演时,表演者在用弓拉动琴弦的同时,不断用手指去控制琴弦的长度,这样做是为了改变声音 的  .",2019 16 9.30 10.16 错题 二胡 表演 表演者 拉动 琴弦 同时 不断 手指 控制 琴弦 长度 这样 为了 改变 声音
834,2019级16班9.30至10.16错题集,"小夏在研究口琴的发声原理时,拆掉了口琴外壳,发现在气孔边分布着长短、厚 薄都不同的一排铜片(如图所示).吹...",2019 16 9.30 10.16 错题 小夏 研究 口琴 发声 原理 拆掉 口琴 外壳 发现 气孔 分布 长短 不同 一排 铜片 如图所示 ...
835,-,"春秋季早晨容易起雾,看见露水",春秋季 早晨 容易 起雾 看见 露水
836,-,冰雪消融变成水,冰雪消融 变成
837,-,"一支燃烧的蜡烛,从“蜡碗”内流出的液体蜡油,瞬间固化。",一支 燃烧 蜡烛 蜡碗 流出 液体 蜡油 瞬间 固化
838,-,晒在太阳下的湿衣服一会就干了.,太阳 衣服 一会
839,-,"冬天,池塘的水结冰了",冬天 池塘 结冰
840,-,"夏天天热的时候,狗经常把舌头伸出来。",夏天 天热 时候 经常 舌头 伸出
841,-,"夏天冰棍的外表上有一层“白粉”冬夜,",夏天 冰棍 外表 一层 白粉 冬夜
842,-,"炼钢炉内熔化的铁水,倾倒出制成钢材。",炼钢炉 熔化 铁水 倾倒 制成 钢材
843,-,干冰放置在空气中迅速消失,干冰 放置 空气 迅速 消失
844,-,"冬天,冰冻的衣服变干",冬天 冰冻 衣服 变干
845,-,冬天手接触到冰冷的铁制东西会感到“粘”手。,冬天 接触 冰冷 铁制 东西 感到
846,-,"蜡烛点燃,蜡块变成蜡水",蜡烛 点燃 蜡块 变成 蜡水
847,-,干冰放置在空气中迅速消失,干冰 放置 空气 迅速 消失
848,-,"一支燃烧的蜡烛,从“蜡碗”内流出的液体蜡油,瞬间固化。",一支 燃烧 蜡烛 蜡碗 流出 液体 蜡油 瞬间 固化
849,-,"冬天,池塘的水结冰了",冬天 池塘 结冰
850,-,夏天洒在地上的水一会儿变干了.,夏天 地上 一会儿 变干
851,-,"用久的电灯泡会显得黑,",用久 电灯泡 显得
852,-,夏天看到冰棒冒着白气,夏天 看到 冰棒 白气
853,-,"戴眼镜的朋友在吃饭时,经常被“挡住视线,这也是液化现象",戴眼镜 朋友 吃饭 经常 挡住 视线 液化 现象
854,-,"戴眼镜的朋友在吃饭时,经常被“挡住视线,这也是液化现象",戴眼镜 朋友 吃饭 经常 挡住 视线 液化 现象
855,-,"梅雨季节,家里的墙壁、地面上看见水珠",梅雨季节 家里 墙壁 地面 看见 水珠
856,-,夏天洒在地上的水一会儿变干了.,夏天 地上 一会儿 变干
857,-,碘蒸气遇冷直接变成固态,蒸气 遇冷 直接 变成 固态
858,-,"炼钢炉内熔化的铁水,倾倒出制成钢材。",炼钢炉 熔化 铁水 倾倒 制成 钢材
859,-,"化雪的时候,在建筑物的尖角处,挂的冰凌柱。",化雪 时候 建筑物 尖角 冰凌
860,-,雪、霜、冰雹、雾凇、窗玻璃上冰花的形成。,冰雹 雾凇 窗玻璃 冰花 形成
861,-,"电灯用久了,灯内的钨丝比新的细.",电灯 用久 灯内 钨丝 比新
862,-,水蒸气烫伤比开水烫伤更严重,水蒸气 烫伤 开水 烫伤 严重
863,-,衣箱中的樟脑丸变小.,衣箱 樟脑丸 变小
864,-,"炼钢炉内熔化的铁水,倾倒出制成钢材。",炼钢炉 熔化 铁水 倾倒 制成 钢材
865,-,"用久的电灯泡会显得黑,",用久 电灯泡 显得
866,-,晒在太阳下的湿衣服一会就干了.,太阳 衣服 一会
867,-,冬日花生油出现乳白色的结晶,冬日 花生油 出现 乳白色 结晶
868,-,水蒸气烫伤比开水烫伤更严重,水蒸气 烫伤 开水 烫伤 严重
869,-,夏天看到冰棒冒着白气,夏天 看到 冰棒 白气
870,-,冬天的雪或雪人时间久了会发现变少或变小了,冬天 雪人 时间 发现 变少 变小
871,-,"蜡烛点燃,蜡块变成蜡水",蜡烛 点燃 蜡块 变成 蜡水
872,-,从冰箱中取出的汽水瓶表面有水,冰箱 取出 汽水瓶 表面 有水
873,-,夏天看到冰棒冒着白气,夏天 看到 冰棒 白气
874,-,冰雪消融变成水,冰雪消融 变成
875,-,口中呼出的“白气”、揭开锅盖冒出的“白气”等,口中 呼出 揭开 锅盖 冒出
876,-,"炼钢炉内熔化的铁水,倾倒出制成钢材。",炼钢炉 熔化 铁水 倾倒 制成 钢材
877,-,晒在太阳下的湿衣服一会就干了.,太阳 衣服 一会
878,-,"梅雨季节,家里的墙壁、地面上看见水珠",梅雨季节 家里 墙壁 地面 看见 水珠
879,-,"冬天,冰冻的衣服变干",冬天 冰冻 衣服 变干
880,-,工厂浇铸车间铜块变铜水,工厂 浇铸 车间 铜块 变铜水
881,-,"锅中的沸水,随着时间延续,水越来越少.",锅中 沸水 随着 时间 延续 越来越少
882,-,夏天太阳把马路上的沥青烤化了,夏天 太阳 马路上 沥青 烤化
883,-,冬日花生油出现乳白色的结晶,冬日 花生油 出现 乳白色 结晶
884,-,舞台上的白雾和人工降雨(部分涉及),舞台 白雾 人工降雨 部分 涉及
885,-,烧开水时会出现大量的“白气”，这些白气过一会就消失了，消失的过程涉及到的物态变化（   ）,开水 时会 出现 大量 这些 白气 一会 消失 消失 过程 涉及 物态 变化
886,-,冰雪消融变成水,冰雪消融 变成
887,-,夏天洒在地上的水一会儿变干了.,夏天 地上 一会儿 变干
888,-,"化雪的时候,在建筑物的尖角处,挂的冰凌柱。",化雪 时候 建筑物 尖角 冰凌
889,-,"锅中的沸水,随着时间延续,水越来越少.",锅中 沸水 随着 时间 延续 越来越少
890,-,"天冷时,温暖的屋子的窗玻璃内部表面出现的水珠。",天冷时 温暖 屋子 窗玻璃 内部 表面 出现 水珠
891,-,冰激凌变软,冰激凌 变软
892,-,"炼钢炉内熔化的铁水,倾倒出制成钢材。",炼钢炉 熔化 铁水 倾倒 制成 钢材
893,-,碘蒸气遇冷直接变成固态,蒸气 遇冷 直接 变成 固态
894,-,舞台上的白雾和人工降雨(部分涉及),舞台 白雾 人工降雨 部分 涉及
895,-,"电灯用久了,灯内的钨丝比新的细.",电灯 用久 灯内 钨丝 比新
896,-,"锅中的沸水,随着时间延续,水越来越少.",锅中 沸水 随着 时间 延续 越来越少
897,-,"春秋季早晨容易起雾,看见露水",春秋季 早晨 容易 起雾 看见 露水
898,-,"冬天,冰冻的衣服变干",冬天 冰冻 衣服 变干
899,-,工厂浇铸车间铜块变铜水,工厂 浇铸 车间 铜块 变铜水
900,-,"天冷时,温暖的屋子的窗玻璃内部表面出现的水珠。",天冷时 温暖 屋子 窗玻璃 内部 表面 出现 水珠
901,-,"蜡烛点燃,蜡块变成蜡水",蜡烛 点燃 蜡块 变成 蜡水
902,-,晒在太阳下的湿衣服一会就干了.,太阳 衣服 一会
903,-,雪、霜、冰雹、雾凇、窗玻璃上冰花的形成。,冰雹 雾凇 窗玻璃 冰花 形成
904,-,衣箱中的樟脑丸变小.,衣箱 樟脑丸 变小
905,-,冬日花生油出现乳白色的结晶,冬日 花生油 出现 乳白色 结晶
906,-,舞台上的白雾和人工降雨(部分涉及),舞台 白雾 人工降雨 部分 涉及
907,-,从冰箱中取出的汽水瓶表面有水,冰箱 取出 汽水瓶 表面 有水
908,-,"锅中的沸水,随着时间延续,水越来越少.",锅中 沸水 随着 时间 延续 越来越少
909,-,碘蒸气遇冷直接变成固态,蒸气 遇冷 直接 变成 固态
910,-,游完泳从水里出来会很冷,完泳 水里 出来
911,-,从冰箱中取出的汽水瓶表面有水,冰箱 取出 汽水瓶 表面 有水
912,-,雨水、露水、雾气、高空的云层,雨水 露水 雾气 高空 云层
913,-,"春秋季早晨容易起雾,看见露水",春秋季 早晨 容易 起雾 看见 露水
914,-,烧开水时会出现大量的“白气”，这些白气过一会就消失了，消失的过程涉及到的物态变化（   ）,开水 时会 出现 大量 这些 白气 一会 消失 消失 过程 涉及 物态 变化
915,-,"用久的电灯泡会显得黑,",用久 电灯泡 显得
916,-,雪、霜、冰雹、雾凇、窗玻璃上冰花的形成。,冰雹 雾凇 窗玻璃 冰花 形成
917,-,碘受热变为紫色的碘蒸气.,受热 变为 紫色 蒸气
918,-,夏天太阳把马路上的沥青烤化了,夏天 太阳 马路上 沥青 烤化
919,-,夏天洒在地上的水一会儿变干了.,夏天 地上 一会儿 变干
920,-,"化雪的时候,在建筑物的尖角处,挂的冰凌柱。",化雪 时候 建筑物 尖角 冰凌
921,-,天然气加压变为液化气,天然气 加压 变为 液化气
922,-,"春秋季早晨容易起雾,看见露水",春秋季 早晨 容易 起雾 看见 露水
923,-,冰激凌变软,冰激凌 变软
924,-,"锅中的沸水,随着时间延续,水越来越少.",锅中 沸水 随着 时间 延续 越来越少
925,-,干冰放置在空气中迅速消失,干冰 放置 空气 迅速 消失
926,-,"天冷时,温暖的屋子的窗玻璃内部表面出现的水珠。",天冷时 温暖 屋子 窗玻璃 内部 表面 出现 水珠
927,-,"夏天天热的时候,狗经常把舌头伸出来。",夏天 天热 时候 经常 舌头 伸出
928,-,夏天太阳把马路上的沥青烤化了,夏天 太阳 马路上 沥青 烤化
929,-,烧开水时会出现大量的“白气”，这些白气过一会就消失了，消失的过程涉及到的物态变化（   ）,开水 时会 出现 大量 这些 白气 一会 消失 消失 过程 涉及 物态 变化
930,-,冬日花生油出现乳白色的结晶,冬日 花生油 出现 乳白色 结晶
931,-,"天冷时,温暖的屋子的窗玻璃内部表面出现的水珠。",天冷时 温暖 屋子 窗玻璃 内部 表面 出现 水珠
932,-,从冰箱中取出的汽水瓶表面有水,冰箱 取出 汽水瓶 表面 有水
933,-,水蒸气烫伤比开水烫伤更严重,水蒸气 烫伤 开水 烫伤 严重
934,-,"冬天,池塘的水结冰了",冬天 池塘 结冰
935,-,"炼钢炉内熔化的铁水,倾倒出制成钢材。",炼钢炉 熔化 铁水 倾倒 制成 钢材
936,-,"戴眼镜的朋友在吃饭时,经常被“挡住视线,这也是液化现象",戴眼镜 朋友 吃饭 经常 挡住 视线 液化 现象
937,-,"冬天,冰冻的衣服变干",冬天 冰冻 衣服 变干
938,-,"锅中的沸水,随着时间延续,水越来越少.",锅中 沸水 随着 时间 延续 越来越少
939,-,干冰放置在空气中迅速消失,干冰 放置 空气 迅速 消失
940,-,"电灯用久了,灯内的钨丝比新的细.",电灯 用久 灯内 钨丝 比新
941,-,"冬天,池塘的水结冰了",冬天 池塘 结冰
942,-,冰激凌变软,冰激凌 变软
943,-,"夏天冰棍的外表上有一层“白粉”冬夜,",夏天 冰棍 外表 一层 白粉 冬夜
944,-,夏天看到冰棒冒着白气,夏天 看到 冰棒 白气
945,-,"(2011武汉四月)(3分)在“观察水的沸腾”实验中,某实验小组记录的数据如下表所示:    (1)从记录的...",2011 武汉 四月 观察 沸腾 实验 实验 小组 记录 数据 如下 所示 记录 ...
946,-,汽化的两种形式:蒸发和沸腾.沸腾是液体（2个字nb）和（2个字bm）同时发生的剧烈的汽化现象;蒸发是在（4个字...,汽化 两种 形式 蒸发 沸腾 沸腾 液体 nb bm 同时 发生 剧烈 汽化 现象 蒸发 ...
947,-,"夏天,小雨将冰水和热水分别注入常温下的两只透明烧杯中,如图所示.一会儿发现两只烧杯的杯壁上都有一部分出...",夏天 小雨 冰水 热水 分别 注入 常温下 两只 透明 烧杯 如图所示 一会儿 发现 两只 烧杯 壁上 一部分 ...
948,-,下列实例中利用液化放热原理的是(    ),下列 实例 利用 液化 放热 原理
949,-,液化的两种方法:（4个字jdwd）和(4个字ystj)。,液化 两种 方法 jdwd ystj
950,-,"晶体熔化的条件:晶体熔化的条件是温度先达到,然后继续",晶体 熔化 条件 晶体 熔化 条件 温度 达到 然后 继续
951,-,"(19武汉)在“探究水沸腾时温度变化的特点”的实验中,某组同学用如图甲所示实验装置进行了两次实...",19 武汉 探究 沸腾 温度 变化 特点 实验 某组 同学 如图 所示 实验 装置 进行 两次 ...
952,-,"课本中想想做做的小实验﹣﹣纸锅烧水,把盛有水的纸锅放在火焰上烧,水烧开了纸锅仍不会燃烧,这是因为(  )",课本 想想 做做 实验 纸锅 烧水 盛有 放在 火焰 上烧 烧开 不会 燃烧 是因为
953,-,"眉山市瓦屋是著名的风景区,远远望去,云雾缭绕,显得神秘而美丽.关于云雾的形成,下列说法正确的是(  )",眉山市 瓦屋 著名 风景区 远远望去 云雾 缭绕 显得 神秘 美丽 关于 云雾 形成 下列 说法 正确
954,-,"晶体熔化的条件:晶体熔化的条件是温度先达到,然后继续",晶体 熔化 条件 晶体 熔化 条件 温度 达到 然后 继续
955,-,"(2010武汉四月)(3分)如图是空调制冷时制冷剂循环的简化图,气态制冷剂由压缩机压入室外机的热交换器,在热交...",2010 武汉 四月 如图 空调 制冷 制冷剂 循环 简化 气态 制冷剂 压缩机 压入 室外机 热交换器 热交 ...
956,-,"(2013武汉)下图是某型号空调扇的示意图,空气通过湿帘时,湿帘表面的水在过程中热量,产生的湿热空气被风机吹...",2013 武汉 下图 型号 空调 示意图 空气 通过 湿帘时 湿帘 表面 过程 热量 产生 湿热 空气 风机 ...
957,-,下列物态变化过程中需要吸收热量的是  (    ),下列 物态 变化 过程 需要 吸收 热量
958,-,"关于热现象,下列说法正确的是",关于 现象 下列 说法 正确
959,10月20日物理课堂练习物态变化301,"0 ℃的水和0 ℃的冰相比较,下列说法正确的是( )",10 20 物理 课堂练习 物态 变化 301 冰相 比较 下列 说法 正确
960,10月20日物理课堂练习物态变化301,"如图所示的温度计,关于它的说法正确的是( )",10 20 物理 课堂练习 物态 变化 301 如图所示 温度计 关于 说法 正确
961,10月20日物理课堂练习物态变化301,"下面是常用温度计测量热水的实验步骤.  ①.选取适当的温度计,观察温度计的测量范围和最小刻度.  ②.估计被...",10 20 物理 课堂练习 物态 变化 301 下面 常用 温度计 测量 热水 实验 步骤 选取 适当 温度计 观察 温度计 测量范围 最小 刻度 估计 ...
962,10月20日物理课堂练习物态变化301,"关于温度计的使用,下列说法中错误的是( )",10 20 物理 课堂练习 物态 变化 301 关于 温度计 使用 下列 说法 错误
963,10月20日物理课堂练习物态变化301,"(2019湘西)在观察温度计的示数时,如图所示的a、b、c三种方法,正确的是( )",10 20 物理 课堂练习 物态 变化 301 2019 湘西 观察 温度计 示数 如图所示 三种 方法 正确
964,10月20日物理课堂练习物态变化301,"我国在高温超导研究领域处于世界领先地位,早已获得绝对温度为100K 的高温超导材料.绝对温度 (T)与摄氏温度...",10 20 物理 课堂练习 物态 变化 301 我国 高温 超导 研究 领域 处于 世界 领先地位 早已 获得 绝对温度 100k 高温 超导 材料 绝对温度 摄氏温度 ...
965,10月20日物理课堂练习物态变化301,"如图所示,是两支水平放置的温度计,且这两支温度计的两端都没有画全;甲的示数为℃,乙的示 数为℃,它们共同的...",10 20 物理 课堂练习 物态 变化 301 如图所示 两支 水平 放置 温度计 两支 温度计 两端 没有 画全 示数 乙的示 数为 它们 共同 ...
966,10月20日物理课堂练习物态变化301,"在制作液体温度计时,为了提高温度计的准确程度,下面措施可行的是( )",10 20 物理 课堂练习 物态 变化 301 制作 液体 温度计 为了 提高 温度计 准确 程度 下面 措施 可行
967,10月20日物理课堂练习物态变化301,"以下是小明估计的常见温度值,其中合理的是( )",10 20 物理 课堂练习 物态 变化 301 以下 小明 估计 常见 温度 其中 合理
968,10月20日物理课堂练习物态变化301,"当把一支温度计插入冰水混合物中时,先使温度计和水接触,后使温度计和冰块接触,那么温度计内水 银升高的情况...",10 20 物理 课堂练习 物态 变化 301 一支 温度计 插入 冰水 混合物 先使 温度计 接触 温度计 冰块 接触 那么 温度计 内水 升高 情况 ...
969,10月20日物理课堂练习物态变化301,(2019上海)人体的正常体温是( ),10 20 物理 课堂练习 物态 变化 301 2019 上海 人体 正常 体温
970,10月20日物理课堂练习物态变化301,"(2019枣庄)用体温计测量病人甲的体温,示数是38 ℃,如果该体温计未经甩过就用来测量病人乙的体 温,示数也是3...",10 20 物理 课堂练习 物态 变化 301 2019 枣庄 体温计 测量 病人 体温 示数 38 如果 体温计 未经 甩过 用来 测量 病人 示数 ...
971,10月20日物理课堂练习物态变化301,"如图所示是小明同学设计的一个气体温度计的示意图.瓶中装的是气体,瓶塞不漏气,弯管中间有一段 液柱.  (1)这...",10 20 物理 课堂练习 物态 变化 301 如图所示 小明 同学 设计 一个 气体 温度计 示意图 中装 气体 瓶塞 漏气 弯管 中间 一段 液柱 ...
972,10月20日物理课堂练习物态变化301,"如图所示关于温度计的使用,错误的是( )",10 20 物理 课堂练习 物态 变化 301 如图所示 关于 温度计 使用 错误
973,10月20日物理课堂练习物态变化301,"如图为某学校医务室所使用的体温计,它是根据水银的性质制成的,图中体温计的示数是℃ ;若没有甩过的体温计的...",10 20 物理 课堂练习 物态 变化 301 如图 学校 医务室 使用 体温计 根据 水银 性质 制成 图中 体温计 示数 没有 甩过 体温计 ...
974,-,"水是人类赖以生存的重要来源,水通过三态变化,实现了在地球上的循环.对以下自然现象所发生的物态变化,判断正...",水是 人类 赖以生存 重要 来源 通过 三态变化 实现 地球 循环 以下 自然 现象 发生 物态 变化 判断 ...
975,-,"沸点:液体时的温度叫沸点,不同液体的沸点,同一液体的沸点还与有关.",沸点 液体 温度 沸点 不同 液体 沸点 同一 液体 沸点 有关
976,-,(17武汉)今年举行的武汉马拉松吸引了两万多名国内外选手参赛。下图为选手们通过建  成通车60周年的武汉长江...,17 武汉 今年 举行 武汉 马拉松 吸引 两万多名 国内外 选手 参赛 下图 选手 通过 通车 60 周年 武汉 长江 ...
977,-,"汽化和液化:物质从变成的过程叫做汽化;物质从变成的过程叫做液化.特点:物质汽化时热,液化时热.",汽化 液化 物质 变成 过程 叫做 汽化 物质 变成 过程 叫做 液化 特点 物质 汽化 时热 液化 时热
978,-,"(2012武汉中考)如图所示,一位小朋友正在世博园内的风扇下“纳凉”.这种风扇能喷射大小为微米级(1...",2012 武汉 中考 如图所示 一位 小朋友 正在 世博园 风扇 纳凉 这种 风扇 喷射 大小 微米 ...
979,-,"夏天,小雨将冰水和热水分别注入常温下的两只透明烧杯中,如图所示.一会儿发现两只烧杯的杯壁上都有一部分出...",夏天 小雨 冰水 热水 分别 注入 常温下 两只 透明 烧杯 如图所示 一会儿 发现 两只 烧杯 壁上 一部分 ...
980,-,"关于匀速直线运动的速度公式,下列说法不正确的是( )",关于 匀速直线 运动 速度 公式 下列 说法 正确
981,-,"如图所示,刻度尺上的物体长度应记录为(  )",如图所示 刻度尺 物体 长度 记录
982,-,"如图记录了甲、乙两辆汽车在平直公路上行驶时,在某段时间内的运动过程.关于甲、乙两车的运动情况,说法不正...",如图 记录 两辆 汽车 平直 公路 行驶 段时间 运动 过程 关于 两车 运动 情况 说法 不正 ...
983,-,"(2017长沙)“共享单车”是互联网、智能手机、GPS定位系统和单车的资源整合,为人们的绿色出行带来...",2017 长沙 共享 单车 互联网 智能手机 gps 定位系统 单车 资源整合 人们 绿色 出行 带来 ...
984,-,"关于匀速直线运动的速度公式,下列说法正确的是(    )",关于 匀速直线 运动 速度 公式 下列 说法 正确
985,-,"在学校“运用物理知识破案”的趣味活动中,小明根据“人站立时身高大约是脚长的 7 倍”...",学校 运用 物理 知识 破案 趣味 活动 小明 根据 站立 身高 大约 脚长 ...
986,-,"2017年5月5日,我国自主研制生产的首架大飞机C919在上海浦东国际机场首飞成功.飞机在跑道上滑行大约3000m后...",2017 我国 自主 研制 生产 首架 飞机 c919 上海浦东国际机场 首飞 成功 飞机 跑道 滑行 大约 3000m ...
987,-,"(2017怀化)2017年5月5日,我国自主研制生产的首架大飞机C919在上海浦东国际机场首飞成功.飞机在跑道上滑行大...",2017 怀化 2017 我国 自主 研制 生产 首架 飞机 c919 上海浦东国际机场 首飞 成功 飞机 跑道 滑行 ...
